rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,group_mix,controls
1520440544000162379,,276,,1520440543,982078672,'',0,"[-0.00628240080550313, -0.01317646075040102, 0.14394202828407288, 0.5724747180938721, 0.0, 0.0, 0.0, -1.0]"
1520440544101501482,,277,,1520440544,83353464,'',0,"[-0.009902657940983772, -0.014785192906856537, 0.1470557004213333, 0.5714601874351501, 0.0, 0.0, 0.0, -1.0]"
1520440544208366424,,278,,1520440544,189571888,'',0,"[-0.018346602097153664, -0.01433727890253067, 0.1481841802597046, 0.565021276473999, 0.0, 0.0, 0.0, -1.0]"
1520440544301840495,,279,,1520440544,289593656,'',0,"[0.025445304811000824, -0.07487558573484421, 0.09614945948123932, 0.5121796131134033, 0.0, 0.0, 0.0, -1.0]"
1520440544403468781,,280,,1520440544,390684144,'',0,"[0.01342329103499651, -0.05937513709068298, 0.07058274000883102, 0.4901667535305023, 0.0, 0.0, 0.0, -1.0]"
1520440544525472311,,281,,1520440544,486824200,'',0,"[-0.009933801367878914, -0.06999652832746506, 0.04019184410572052, 0.48489245772361755, 0.0, 0.0, 0.0, -1.0]"
1520440544621186347,,282,,1520440544,595078842,'',0,"[0.005925328470766544, -0.07791145890951157, 0.021778978407382965, 0.47191935777664185, 0.0, 0.0, 0.0, -1.0]"
1520440544763279986,,283,,1520440544,691021842,'',0,"[0.011885173618793488, -0.04644942283630371, 0.007253061980009079, 0.4641072154045105, 0.0, 0.0, 0.0, -1.0]"
1520440544814706406,,284,,1520440544,793648097,'',0,"[-0.00668590422719717, -0.032252080738544464, -0.006353795528411865, 0.4741852283477783, 0.0, 0.0, 0.0, -1.0]"
1520440544911470655,,285,,1520440544,885637097,'',0,"[0.007545477245002985, -0.03686778247356415, -0.013124492019414902, 0.4764791429042816, 0.0, 0.0, 0.0, -1.0]"
1520440545003223669,,286,,1520440544,990785032,'',0,"[0.011585947126150131, -0.03956369310617447, -0.017883460968732834, 0.4901362955570221, 0.0, 0.0, 0.0, -1.0]"
1520440545092387248,,287,,1520440545,82895696,'',0,"[0.0001772170653566718, -0.05467773228883743, -0.01860494539141655, 0.5082340836524963, 0.0, 0.0, 0.0, -1.0]"
1520440545202480128,,288,,1520440545,185324512,'',0,"[-0.005136516876518726, -0.04599369317293167, -0.015777569264173508, 0.5440434217453003, 0.0, 0.0, 0.0, -1.0]"
1520440545301878814,,289,,1520440545,289331512,'',0,"[-0.00515928165987134, -0.053559329360723495, -0.012719999998807907, 0.5126296281814575, 0.0, 0.0, 0.0, -1.0]"
1520440545401254502,,290,,1520440545,381817104,'',0,"[0.008846912533044815, -0.035366490483284, -0.007607955485582352, 0.5022880434989929, 0.0, 0.0, 0.0, -1.0]"
1520440545498140877,,291,,1520440545,483354456,'',0,"[0.005430384073406458, -0.0565279945731163, -0.0027238167822360992, 0.4961244761943817, 0.0, 0.0, 0.0, -1.0]"
