rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,channels
1520440561679481480,,452,,1520440561,640554375,'',"[1568, 1614, 1536, 1571, 0, 0, 0, 0]"
1520440561777726160,,453,,1520440561,765854305,'',"[1550, 1639, 1538, 1575, 0, 0, 0, 0]"
1520440561876229610,,454,,1520440561,859320072,'',"[1568, 1621, 1537, 1579, 0, 0, 0, 0]"
1520440561962613105,,455,,1520440561,960331584,'',"[1559, 1622, 1535, 1578, 0, 0, 0, 0]"
1520440562062624066,,456,,1520440562,53855669,'',"[1574, 1613, 1527, 1586, 0, 0, 0, 0]"
1520440562173027625,,457,,1520440562,149184112,'',"[1550, 1631, 1529, 1584, 0, 0, 0, 0]"
1520440562262309659,,458,,1520440562,255537408,'',"[1578, 1605, 1541, 1574, 0, 0, 0, 0]"
1520440562367661357,,459,,1520440562,360966232,'',"[1555, 1623, 1528, 1579, 0, 0, 0, 0]"
1520440562461690182,,460,,1520440562,438645690,'',"[1573, 1611, 1536, 1579, 0, 0, 0, 0]"
1520440562572722741,,461,,1520440562,560857636,'',"[1562, 1622, 1546, 1569, 0, 0, 0, 0]"
1520440562673374663,,462,,1520440562,658821000,'',"[1557, 1623, 1539, 1575, 0, 0, 0, 0]"
1520440562776834465,,463,,1520440562,763219592,'',"[1563, 1612, 1542, 1570, 0, 0, 0, 0]"
1520440562878081242,,464,,1520440562,861847056,'',"[1518, 1589, 1490, 1554, 0, 0, 0, 0]"
1520440563092681943,,465,,1520440563,62602464,'',"[1551, 1615, 1538, 1572, 0, 0, 0, 0]"
1520440563193767805,,466,,1520440563,150859781,'',"[1568, 1602, 1539, 1574, 0, 0, 0, 0]"
1520440563281459525,,467,,1520440563,249237280,'',"[1563, 1620, 1542, 1584, 0, 0, 0, 0]"
1520440563391197621,,468,,1520440563,362942672,'',"[1561, 1621, 1534, 1586, 0, 0, 0, 0]"
1520440563461561355,,469,,1520440563,451835771,'',"[1564, 1612, 1530, 1583, 0, 0, 0, 0]"
1520440563572278174,,470,,1520440563,556851896,'',"[1553, 1627, 1531, 1586, 0, 0, 0, 0]"
1520440563671713468,,471,,1520440563,652034528,'',"[1562, 1620, 1539, 1576, 0, 0, 0, 0]"
1520440563775507834,,472,,1520440563,754849808,'',"[1552, 1606, 1517, 1575, 0, 0, 0, 0]"
1520440563864570698,,473,,1520440563,858497960,'',"[1552, 1606, 1530, 1560, 0, 0, 0, 0]"
1520440563971619984,,474,,1520440563,957948840,'',"[1564, 1619, 1526, 1581, 0, 0, 0, 0]"
1520440564066360004,,475,,1520440564,63185760,'',"[1565, 1628, 1534, 1583, 0, 0, 0, 0]"
1520440564173385669,,476,,1520440564,158519032,'',"[1571, 1633, 1536, 1588, 0, 0, 0, 0]"
1520440564276606426,,477,,1520440564,261616112,'',"[1581, 1613, 1529, 1582, 0, 0, 0, 0]"
1520440564371690260,,478,,1520440564,359828632,'',"[1561, 1627, 1537, 1566, 0, 0, 0, 0]"
1520440564477181687,,479,,1520440564,459846976,'',"[1579, 1597, 1528, 1565, 0, 0, 0, 0]"
1520440564588608166,,480,,1520440564,564140776,'',"[1559, 1603, 1521, 1562, 0, 0, 0, 0]"
1520440564683928202,,481,,1520440564,658612048,'',"[1553, 1618, 1524, 1566, 0, 0, 0, 0]"
1520440564816834759,,482,,1520440564,766217464,'',"[1569, 1614, 1531, 1575, 0, 0, 0, 0]"
1520440564897959164,,483,,1520440564,855302578,'',"[1553, 1627, 1521, 1579, 0, 0, 0, 0]"
1520440564972191155,,484,,1520440564,953329424,'',"[1570, 1606, 1527, 1571, 0, 0, 0, 0]"
1520440565071919616,,485,,1520440565,64070680,'',"[1563, 1603, 1523, 1560, 0, 0, 0, 0]"
1520440565193973147,,486,,1520440565,158224776,'',"[1553, 1611, 1526, 1555, 0, 0, 0, 0]"
1520440565277591962,,487,,1520440565,257728784,'',"[1540, 1627, 1529, 1553, 0, 0, 0, 0]"
1520440565371790256,,488,,1520440565,369584223,'',"[1566, 1608, 1515, 1576, 0, 0, 0, 0]"
1520440565472001569,,489,,1520440565,465432576,'',"[1564, 1617, 1530, 1569, 0, 0, 0, 0]"
1520440565572610626,,490,,1520440565,561805608,'',"[1550, 1626, 1518, 1580, 0, 0, 0, 0]"
1520440565676323036,,491,,1520440565,663742696,'',"[1569, 1604, 1518, 1573, 0, 0, 0, 0]"
1520440565772771457,,492,,1520440565,761412952,'',"[1551, 1620, 1539, 1560, 0, 0, 0, 0]"
1520440565872169389,,493,,1520440565,860994184,'',"[1573, 1616, 1511, 1604, 0, 0, 0, 0]"
1520440565978261502,,494,,1520440565,962012880,'',"[1581, 1623, 1534, 1588, 0, 0, 0, 0]"
1520440566074977406,,495,,1520440566,66344280,'',"[1577, 1624, 1541, 1572, 0, 0, 0, 0]"
1520440566190808339,,496,,1520440566,166426592,'',"[1554, 1629, 1533, 1558, 0, 0, 0, 0]"
1520440566271233687,,497,,1520440566,268956296,'',"[1564, 1619, 1525, 1565, 0, 0, 0, 0]"
1520440566374223275,,498,,1520440566,363885912,'',"[1560, 1611, 1528, 1556, 0, 0, 0, 0]"
1520440566477514931,,499,,1520440566,463307320,'',"[1545, 1626, 1520, 1564, 0, 0, 0, 0]"
1520440566577642582,,500,,1520440566,573963658,'',"[1574, 1599, 1531, 1557, 0, 0, 0, 0]"
1520440566676097434,,501,,1520440566,673862232,'',"[1551, 1615, 1509, 1567, 0, 0, 0, 0]"
1520440566771873417,,502,,1520440566,774307944,'',"[1575, 1609, 1531, 1562, 0, 0, 0, 0]"
1520440566873136221,,503,,1520440566,868936128,'',"[1563, 1621, 1525, 1560, 0, 0, 0, 0]"
1520440566976509219,,504,,1520440566,967541392,'',"[1555, 1620, 1514, 1561, 0, 0, 0, 0]"
1520440567073115829,,505,,1520440567,65398688,'',"[1571, 1610, 1527, 1557, 0, 0, 0, 0]"
1520440567172188917,,506,,1520440567,163741496,'',"[1545, 1614, 1490, 1574, 0, 0, 0, 0]"
1520440567280076000,,507,,1520440567,264098640,'',"[1584, 1608, 1549, 1544, 0, 0, 0, 0]"
1520440567395267945,,508,,1520440567,365630440,'',"[1553, 1635, 1511, 1570, 0, 0, 0, 0]"
1520440567493649511,,509,,1520440567,467422992,'',"[1587, 1625, 1535, 1576, 0, 0, 0, 0]"
1520440567577293795,,510,,1520440567,566472472,'',"[1579, 1638, 1535, 1573, 0, 0, 0, 0]"
1520440567682264165,,511,,1520440567,670465552,'',"[1580, 1627, 1517, 1583, 0, 0, 0, 0]"
1520440567776816965,,512,,1520440567,770303440,'',"[1584, 1625, 1530, 1570, 0, 0, 0, 0]"
1520440567894041191,,513,,1520440567,868814048,'',"[1564, 1638, 1523, 1562, 0, 0, 0, 0]"
1520440567992055512,,514,,1520440567,975686568,'',"[1572, 1623, 1518, 1563, 0, 0, 0, 0]"
1520440568077515319,,515,,1520440568,71650984,'',"[1590, 1617, 1530, 1564, 0, 0, 0, 0]"
1520440568171451971,,516,,1520440568,172036208,'',"[1566, 1632, 1520, 1561, 0, 0, 0, 0]"
1520440568294819901,,517,,1520440568,271486816,'',"[1574, 1621, 1532, 1555, 0, 0, 0, 0]"
1520440568411234896,,518,,1520440568,380851568,'',"[1570, 1634, 1532, 1566, 0, 0, 0, 0]"
1520440568485489125,,519,,1520440568,452160583,'',"[1574, 1617, 1525, 1563, 0, 0, 0, 0]"
1520440568588787390,,520,,1520440568,566239206,'',"[1567, 1620, 1513, 1576, 0, 0, 0, 0]"
1520440568673934028,,521,,1520440568,666301296,'',"[1566, 1614, 1528, 1556, 0, 0, 0, 0]"
1520440568777474099,,522,,1520440568,761176152,'',"[1563, 1627, 1520, 1575, 0, 0, 0, 0]"
1520440568872556168,,523,,1520440568,864167760,'',"[1572, 1611, 1519, 1566, 0, 0, 0, 0]"
1520440568979304678,,524,,1520440568,968483944,'',"[1573, 1619, 1538, 1549, 0, 0, 0, 0]"
1520440569077820232,,525,,1520440569,68184664,'',"[1562, 1628, 1519, 1565, 0, 0, 0, 0]"
1520440569198620981,,526,,1520440569,170665352,'',"[1569, 1622, 1522, 1558, 0, 0, 0, 0]"
1520440569276820872,,527,,1520440569,274285208,'',"[1569, 1627, 1524, 1554, 0, 0, 0, 0]"
1520440569400142869,,528,,1520440569,378015568,'',"[1581, 1614, 1520, 1559, 0, 0, 0, 0]"
1520440569492163655,,529,,1520440569,476430200,'',"[1559, 1635, 1518, 1558, 0, 0, 0, 0]"
1520440569582360712,,530,,1520440569,557849468,'',"[1581, 1603, 1521, 1543, 0, 0, 0, 0]"
1520440569693587776,,531,,1520440569,669862695,'',"[1550, 1620, 1499, 1551, 0, 0, 0, 0]"
1520440569806588814,,532,,1520440569,756895468,'',"[1559, 1628, 1521, 1545, 0, 0, 0, 0]"
1520440569877037329,,533,,1520440569,872372395,'',"[1581, 1608, 1517, 1563, 0, 0, 0, 0]"
1520440570003447047,,534,,1520440569,974314664,'',"[1574, 1623, 1523, 1564, 0, 0, 0, 0]"
1520440570077338357,,535,,1520440570,70215576,'',"[1586, 1611, 1520, 1571, 0, 0, 0, 0]"
1520440570191815725,,536,,1520440570,171475168,'',"[1567, 1632, 1521, 1572, 0, 0, 0, 0]"
1520440570293447654,,537,,1520440570,257360398,'',"[1563, 1629, 1516, 1572, 0, 0, 0, 0]"
1520440570396840919,,538,,1520440570,360743880,'',"[1576, 1615, 1531, 1559, 0, 0, 0, 0]"
1520440570473281417,,539,,1520440570,476837399,'',"[1570, 1617, 1526, 1562, 0, 0, 0, 0]"
1520440570578097769,,540,,1520440570,563029952,'',"[1565, 1631, 1531, 1568, 0, 0, 0, 0]"
1520440570704975431,,541,,1520440570,671153032,'',"[1561, 1630, 1537, 1557, 0, 0, 0, 0]"
1520440570772299462,,542,,1520440570,755277533,'',"[1573, 1612, 1536, 1547, 0, 0, 0, 0]"
1520440570876853199,,543,,1520440570,866550643,'',"[1584, 1605, 1537, 1559, 0, 0, 0, 0]"
1520440570973546785,,544,,1520440570,966324072,'',"[1570, 1616, 1535, 1555, 0, 0, 0, 0]"
1520440571081508873,,545,,1520440571,63598096,'',"[1576, 1605, 1521, 1571, 0, 0, 0, 0]"
1520440571185053424,,546,,1520440571,167381952,'',"[1560, 1608, 1521, 1561, 0, 0, 0, 0]"
1520440571272806868,,547,,1520440571,267303808,'',"[1555, 1611, 1530, 1555, 0, 0, 0, 0]"
1520440571378108223,,548,,1520440571,365922584,'',"[1561, 1607, 1500, 1591, 0, 0, 0, 0]"
1520440571477812143,,549,,1520440571,466185128,'',"[1580, 1605, 1531, 1592, 0, 0, 0, 0]"
1520440571592679334,,550,,1520440571,569783000,'',"[1571, 1625, 1544, 1590, 0, 0, 0, 0]"
1520440571673668730,,551,,1520440571,668636992,'',"[1558, 1625, 1544, 1580, 0, 0, 0, 0]"
1520440571776280864,,552,,1520440571,767520808,'',"[1575, 1592, 1537, 1577, 0, 0, 0, 0]"
1520440571872141456,,553,,1520440571,862866232,'',"[1546, 1612, 1539, 1565, 0, 0, 0, 0]"
1520440571982929934,,554,,1520440571,968542592,'',"[1541, 1608, 1529, 1571, 0, 0, 0, 0]"
